"id","substance_code_id/id"
hc_base.subs_code_1346008,hc_base.subs_code_1346008_hc_vs_substance_code
hc_base.subs_code_1355006,hc_base.subs_code_1355006_hc_vs_substance_code
hc_base.subs_code_1368003,hc_base.subs_code_1368003_hc_vs_substance_code
hc_base.subs_code_1371006,hc_base.subs_code_1371006_hc_vs_substance_code
hc_base.subs_code_1373009,hc_base.subs_code_1373009_hc_vs_substance_code
hc_base.subs_code_1381005,hc_base.subs_code_1381005_hc_vs_substance_code
hc_base.subs_code_1394007,hc_base.subs_code_1394007_hc_vs_substance_code
hc_base.subs_code_1396009,hc_base.subs_code_1396009_hc_vs_substance_code
hc_base.subs_code_1405004,hc_base.subs_code_1405004_hc_vs_substance_code
hc_base.subs_code_1408002,hc_base.subs_code_1408002_hc_vs_substance_code
hc_base.subs_code_1416006,hc_base.subs_code_1416006_hc_vs_substance_code
hc_base.subs_code_1450002,hc_base.subs_code_1450002_hc_vs_substance_code
hc_base.subs_code_1472000,hc_base.subs_code_1472000_hc_vs_substance_code
hc_base.subs_code_1476002,hc_base.subs_code_1476002_hc_vs_substance_code
hc_base.subs_code_1496005,hc_base.subs_code_1496005_hc_vs_substance_code
hc_base.subs_code_1506001,hc_base.subs_code_1506001_hc_vs_substance_code
hc_base.subs_code_1517000,hc_base.subs_code_1517000_hc_vs_substance_code
hc_base.subs_code_1535009,hc_base.subs_code_1535009_hc_vs_substance_code
hc_base.subs_code_1536005,hc_base.subs_code_1536005_hc_vs_substance_code
hc_base.subs_code_1540001,hc_base.subs_code_1540001_hc_vs_substance_code
hc_base.subs_code_1545006,hc_base.subs_code_1545006_hc_vs_substance_code
hc_base.subs_code_1557002,hc_base.subs_code_1557002_hc_vs_substance_code
hc_base.subs_code_1565004,hc_base.subs_code_1565004_hc_vs_substance_code
hc_base.subs_code_1575001,hc_base.subs_code_1575001_hc_vs_substance_code
hc_base.subs_code_1603001,hc_base.subs_code_1603001_hc_vs_substance_code
hc_base.subs_code_1607000,hc_base.subs_code_1607000_hc_vs_substance_code
hc_base.subs_code_1609002,hc_base.subs_code_1609002_hc_vs_substance_code
hc_base.subs_code_1634002,hc_base.subs_code_1634002_hc_vs_substance_code
hc_base.subs_code_1649005,hc_base.subs_code_1649005_hc_vs_substance_code
hc_base.subs_code_1660001,hc_base.subs_code_1660001_hc_vs_substance_code
hc_base.subs_code_1668008,hc_base.subs_code_1668008_hc_vs_substance_code
hc_base.subs_code_1673002,hc_base.subs_code_1673002_hc_vs_substance_code
hc_base.subs_code_1675009,hc_base.subs_code_1675009_hc_vs_substance_code
hc_base.subs_code_1676005,hc_base.subs_code_1676005_hc_vs_substance_code
hc_base.subs_code_1696002,hc_base.subs_code_1696002_hc_vs_substance_code
hc_base.subs_code_1701009,hc_base.subs_code_1701009_hc_vs_substance_code
hc_base.subs_code_1710001,hc_base.subs_code_1710001_hc_vs_substance_code
hc_base.subs_code_1726000,hc_base.subs_code_1726000_hc_vs_substance_code
hc_base.subs_code_1740004,hc_base.subs_code_1740004_hc_vs_substance_code
hc_base.subs_code_1768000,hc_base.subs_code_1768000_hc_vs_substance_code
hc_base.subs_code_1793003,hc_base.subs_code_1793003_hc_vs_substance_code
hc_base.subs_code_1795005,hc_base.subs_code_1795005_hc_vs_substance_code
hc_base.subs_code_1904005,hc_base.subs_code_1904005_hc_vs_substance_code
hc_base.subs_code_1914001,hc_base.subs_code_1914001_hc_vs_substance_code
hc_base.subs_code_1916004,hc_base.subs_code_1916004_hc_vs_substance_code
hc_base.subs_code_1940007,hc_base.subs_code_1940007_hc_vs_substance_code
hc_base.subs_code_1944003,hc_base.subs_code_1944003_hc_vs_substance_code
hc_base.subs_code_1956002,hc_base.subs_code_1956002_hc_vs_substance_code
hc_base.subs_code_1971003,hc_base.subs_code_1971003_hc_vs_substance_code
hc_base.subs_code_1975007,hc_base.subs_code_1975007_hc_vs_substance_code
hc_base.subs_code_1978009,hc_base.subs_code_1978009_hc_vs_substance_code
hc_base.subs_code_1985008,hc_base.subs_code_1985008_hc_vs_substance_code
hc_base.subs_code_1991005,hc_base.subs_code_1991005_hc_vs_substance_code
hc_base.subs_code_2000001,hc_base.subs_code_2000001_hc_vs_substance_code
hc_base.subs_code_2006007,hc_base.subs_code_2006007_hc_vs_substance_code
hc_base.subs_code_2008008,hc_base.subs_code_2008008_hc_vs_substance_code
hc_base.subs_code_2009000,hc_base.subs_code_2009000_hc_vs_substance_code
hc_base.subs_code_2027002,hc_base.subs_code_2027002_hc_vs_substance_code
hc_base.subs_code_2038002,hc_base.subs_code_2038002_hc_vs_substance_code
hc_base.subs_code_2039005,hc_base.subs_code_2039005_hc_vs_substance_code
hc_base.subs_code_2064008,hc_base.subs_code_2064008_hc_vs_substance_code
hc_base.subs_code_2082006,hc_base.subs_code_2082006_hc_vs_substance_code
hc_base.subs_code_2088005,hc_base.subs_code_2088005_hc_vs_substance_code
hc_base.subs_code_2096000,hc_base.subs_code_2096000_hc_vs_substance_code
hc_base.subs_code_2100004,hc_base.subs_code_2100004_hc_vs_substance_code
hc_base.subs_code_2101000,hc_base.subs_code_2101000_hc_vs_substance_code
hc_base.subs_code_2125008,hc_base.subs_code_2125008_hc_vs_substance_code
hc_base.subs_code_2141009,hc_base.subs_code_2141009_hc_vs_substance_code
hc_base.subs_code_2147008,hc_base.subs_code_2147008_hc_vs_substance_code
hc_base.subs_code_2151005,hc_base.subs_code_2151005_hc_vs_substance_code
hc_base.subs_code_2159007,hc_base.subs_code_2159007_hc_vs_substance_code
hc_base.subs_code_2163000,hc_base.subs_code_2163000_hc_vs_substance_code
hc_base.subs_code_2194000,hc_base.subs_code_2194000_hc_vs_substance_code
hc_base.subs_code_2195004,hc_base.subs_code_2195004_hc_vs_substance_code
